Part_Number,Product,Description,Type
Labor                    ,Labor,Labor and Travel du,OTHER
Labor                    ,Labor,ATL1-DC2 DH1200 6M,OTHER
Labor                    ,Labor,"Labor,   2 man te",OTHER
Labor                    ,Labor,COMMISSIONING Labor,OTHER
Labor                    ,Labor,"Labor,   Troubles",OTHER
Labor                    ,Labor,"Labor, Travel   t",OTHER
Labor                    ,Labor,ASH Trident -- Re-t,OTHER
Labor                    ,Labor,"Labor, re-tap PDUs ",OTHER
Labor                    ,Labor,"Labor,    Two da",OTHER
Labor                    ,Labor,"Labor,   breaker ",OTHER
Labor                    ,Labor,6 grid connect     ,OTHER
Labor                    ,Labor,"Labor,    Scope ",OTHER
Labor                    ,Labor,"Labor,   Labor to",OTHER
Labor                    ,Labor,"Labor,   1 day of",OTHER
Labor                    ,Labor,"Labor,    4 days",OTHER
Labor                    ,Labor,Monday - Friday 8am,OTHER
Labor                    ,Labor,"Labor, Travel and P",OTHER
Labor                    ,Labor,PM Only of 4 STS 4,OTHER
Labor                    ,Labor,"Labor,  change ta",OTHER
Labor                    ,Labor,ATL1-DC2 Day 1 PDI ,OTHER
Labor                    ,Labor,Labor to start up 6,OTHER
Labor                    ,Labor,"Labor,   labor co",OTHER
Labor                    ,Labor,Full Day During Bus,OTHER
Labor                    ,Labor,Breaker swap - week,OTHER
Labor                    ,Labor,Commissioning of AS,OTHER
Labor                    ,Labor,"Labor,   commissi",OTHER
Labor                    ,Labor,"Labor,  4 days co",OTHER
Labor                    ,Labor,"Labor,  Labor  c",OTHER
Labor                    ,Labor,ATL1-DC2- DH1150 H,OTHER
Labor                    ,Labor,QTS Rates  Startup,OTHER
Labor                    ,Labor,Commissioning & Mec,OTHER
Labor                    ,Labor,labor for start up ,OTHER
Labor                    ,Labor,"Labor,   Serial ",OTHER
Labor                    ,Labor,"Labor,  commissio",OTHER
Labor                    ,Labor,"Labor,   upgrade ",OTHER
Labor                    ,Labor,PM Only of 87 STS ,OTHER
Labor                    ,Labor,factory labor to in,OTHER
Labor                    ,Labor,FULL DAY TO   CTs,OTHER
Labor                    ,Labor,"Labor,   3 days o",OTHER
Labor                    ,Labor,ATL1-DC2- DH2150/2,OTHER
Labor                    ,Labor,"Labor,  install T",OTHER
Labor                    ,Labor,Extra Commissioning,OTHER
Labor                    ,Labor,Labor and parts,OTHER
Labor                    ,Labor,commissioning suppo,OTHER
Labor                    ,Labor,"Labor,  breaker u",OTHER
Labor                    ,Labor,PM ONLY ON PDUS T1,OTHER
Labor                    ,Labor,Labor - OT adder,OTHER
Labor                    ,Labor,P-0179 ATL1 - DC2 ,OTHER
Labor                    ,Labor,Installation of the,OTHER
Labor                    ,Labor,MAN1-PH2A PDI CX Su,OTHER
Labor                    ,Labor,Commissioning  2 ,OTHER
Labor                    ,Labor,Labor  4 days of ,OTHER
Labor                    ,Labor,"Labor,   2nd star",OTHER
Labor                    ,Labor,"Labor,   Request ",OTHER
Labor                    ,Labor,Labor  Inspect 3 ,OTHER
Labor                    ,Labor,Labor  install Q,OTHER
Labor                    ,Labor,PM Only of 5 PDU 4,OTHER
Labor                    ,OTHER,Return Shipment of ,OTHER
Labor                    ,Upgrade,"Labor, Travel and P",OTHER
LCH06774                 ,OTHER,"Lever,Key/LK,ZN,BK,",OTHER
